Customer_ID,Customer_Name,Email,Phone_Number,Address,Customer_Sentiment
1,Lohit Magar,dsalvi@example.net,2255223109,"717, Buch Path, Bidar-126259",Negative
2,Hamsini Luthra,varughesekevin@example.net,9.13527E+11,"66/43, Bir Ganj, Solapur 068841",Negative
3,Yug Dash,krishna11@example.org,9.13478E+11,"104, Yogi Nagar, Pondicherry-323185",Positive
4,Rayaan Bhattacharyya,leelamohan@example.org,7954957213,"22, Chakrabarti, Bhilai-211843",Negative
5,Tarak Char,nakul79@example.net,8457600236,"410, Raghavan Nagar, Pudukkottai 289571",Negative
6,Arunima Reddy,ovasa@example.com,9.10689E+11,"041, Deo, Kumbakonam 494880",Negative
7,Zarna Jayaraman,ykarpe@example.net,1177933159,"38/411, Hora Chowk, Meerut 609664",Negative
8,Yuvraj Sibal,aarav61@example.com,4904127762,"H.No. 18, Edwin Marg, Shimla 936329",Positive
9,Ayaan Badami,qasim39@example.org,4630394918,"16/755, Goda Road, Dindigul-201427",Positive
10,Nimrat Tak,rajata84@example.org,1589966003,"22/416, Sant Circle, Durg-795580",Positive
11,Chakradev Kothari,vkade@example.com,5235106797,"H.No. 622, Trivedi Ganj, Amravati-620519",Negative
12,Rachit Chad,sarrafshaurya@example.org,9299403536,"41, Mandal Marg, Bulandshahr-159041",Negative
13,Warinder Edwin,amara34@example.net,8843351390,"67, Bose Road, Visakhapatnam-767088",Negative
14,Zayyan Ratti,ayush62@example.com,6872277581,"H.No. 50, Sandal Marg, Fatehpur-661767",Positive
15,Nitesh Sachdeva,chakrabartinitesh@example.com,5199305277,"27/970, Vyas Zila, Arrah 645244",Positive
16,Deepa Ganesan,yadavi13@example.net,9.13209E+11,"52, Prabhakar Road, Satna 475418",Negative
17,Shaurya Kar,jhasaumya@example.net,331157691,"52/516, Garg Street, Morena 931314",Negative
18,Aarav Bhattacharyya,mannrachita@example.org,2145540060,"H.No. 433, Sunder, Amritsar-356193",Positive
19,Saumya Shan,eshana65@example.org,9103546702,"11/970, Varghese Marg, Bharatpur-424812",Negative
20,Michael Mandal,masterbhavini@example.com,6115217743,"999, Munshi Chowk, Agra 841112",Positive
21,Neelima Kaur,watika66@example.org,3401072746,"H.No. 22, Kaul Marg, Jaipur-828009",Positive
22,Thomas Ramakrishnan,indiralanka@example.org,7579551563,"H.No. 659, Dass Zila, Jorhat 128515",Negative
23,Madhav Devi,georgebora@example.net,9415330728,"H.No. 435, Keer Chowk, Raipur-934696",Positive
24,Omya Kapoor,kandaanika@example.com,9.13703E+11,"476, Batta Nagar, Surendranagar Dudhrej-536171",Negative
25,Kavya Sankaran,jairajbatra@example.org,4131115453,"90/180, Sankaran Path, Satara 137058",Negative
26,Jairaj Sastry,qabilkeer@example.com,9.14207E+11,"25, Guha Circle, Asansol 431983",Positive
27,Dev Varghese,odika74@example.com,1120260461,"H.No. 32, Minhas Nagar, Udupi 796627",Negative
28,Anjali Natarajan,,7229208597,"73/94, Lad Street, Ichalkaranji-149641",Positive
29,Jai Chopra,champak92@example.com,2569154447,"H.No. 151, Lalla Road, Siwan 882231",Positive
30,Zilmil Nadkarni,,9.11723E+11,"05/642, Nadkarni, Ahmedabad-356194",Positive
31,Oeshi Sani,amruta42@example.com,7330442312,"H.No. 31, Patil Street, Kumbakonam-613442",Positive
32,Vasatika Hari,buchrudra@example.org,5318197217,"47/959, Uppal Circle, Sri Ganganagar-417152",Positive
33,Onveer Raval,sanghvimanya@example.com,2286196096,"31/95, Kanda Marg, Kolhapur-934349",Negative
34,Shaurya Sankaran,acharyasanaya@example.net,95956844,"H.No. 276, Saran Ganj, Gaya-572469",Negative
35,Faraj Chand,dbalan@example.net,8131451874,"89/53, Sant, Amaravati 829563",Negative
36,Nathan Loyal,gprasad@example.org,4846000636,"H.No. 636, Nath Marg, Pune 938838",Positive
37,Amrita Narasimhan,gayathri58@example.org,8912752613,"H.No. 69, Rau Path, Mango 927047",Negative
38,Elijah Sundaram,dipta97@example.net,5834906749,"44/672, Saini Ganj, Bahraich 456087",Positive
39,Fiyaz Bahri,rbhakta@example.com,9.15332E+11,"51, Acharya Street, Vijayawada 199137",Negative
40,Pushti Pall,krisha02@example.org,9.19308E+11,"H.No. 278, Walia Circle, Nandyal-464473",Positive
41,Tripti Raja,cwable@example.org,5031303421,"03, Thaman Path, Ichalkaranji 624299",Negative
42,Sanaya Mody,yashvighosh@example.net,5036865919,"H.No. 257, Zacharia Circle, Bhatpara-469806",Positive
43,Onkar Nath,damini80@example.com,8125480652,"56, Mukhopadhyay Path, Dibrugarh 967903",Negative
44,Shivani Narang,handatanmayi@example.net,9.19493E+11,"95/045, Barad Road, Berhampur 331751",Negative
45,Bhavini Mody,niharikajayaraman@example.com,3886847493,"53/240, Gaba Ganj, Shimoga-230263",Positive
