Ticket_ID,Customer_ID,Agent_Name,Repair_Issue,Repair_Date,Part_Replaced,Model_Name,Laptop_Serial_Number
1,1736,Samaksh Sheth,Overheating problem,10/5/2024,Cooling Fan,dell inspiron 15,UHR9RDU2
2,1133,Chakradhar Dua,Keyboard issue,11/8/2022,Keyboard,dell xps 13,80MKGNNP
3,497,Leela Nazareth,Screen replacement,10/23/2024,Screen,dell vostro 14,2TH6C1BJ
4,1436,Daksha Agarwal,Overheating problem,5/7/2023,Cooling Fan,dell alienware 17,N6JLTOQJ
5,1280,Yashica Kota,Overheating problem,11/29/2023,Cooling Fan,dell xps 13,KHP9IYYD
6,1074,Onveer Ramaswamy,Keyboard issue,9/29/2023,Keyboard,dell vostro 14,XUH78H1I
7,1643,Yashica Kota,Screen replacement,7/21/2023,Screen,DELL VOSTRO 14,25OJX782
8,1305,Onveer Ramaswamy,Keyboard issue,3/5/2023,Keyboard,dell alienware 17,38KAI3SV
9,1170,Zaitra Tiwari,Audio issue,4/29/2024,Speakers,DELL XPS 13,LTM7J9EH
10,1051,Vaishnavi Dalal,Overheating problem,2/18/2022,Cooling Fan,dell xps 13,TLMEP6UL
11,682,Rajeshri Choudhary,Battery replacement,10/13/2024,Battery,dell alienware 17,AAMNCEWF
12,1683,Pavani Sanghvi,Overheating problem,10/10/2023,Cooling Fan,dell xps 13,LGMZNY44
13,1398,Keya Karan,Audio issue,5/9/2022,Speakers,dell alienware 17,Z2GPNXP9
13,555,Vyanjana Bedi,Overheating problem,11/10/2023,Cooling Fan,dell inspiron 15,9QID0C1O
15,440,Mitesh Nori,Audio issue,1/11/2024,Speakers,dell latitude 5500,NHW498Z3
16,218,Peter Narain,Audio issue,5/28/2023,Speakers,dell vostro 14,IB5VB9J7
17,1445,Chakradev Upadhyay,Battery replacement,1/23/2023,Battery,dell inspiron 15,M243R0PE
18,1314,Anay Sane,Overheating problem,11/2/2023,Cooling Fan,dell vostro 14,UMZ5JL1A
19,1981,Yug Varghese,,12/26/2023,,dell xps 13,CTNS38FD
20,387,Nachiket Ahuja,Keyboard issue,1/28/2023,Keyboard,dell xps 13,J25RVIOY
21,1071,Chakradev Upadhyay,Audio issue,4/26/2022,Speakers,dell latitude 5500,5X2PDTGB
3,357,Tripti Mandal,Battery replacement,8/22/2024,Battery,dell inspiron 15,6O7KBR7M
